artifact_id,task,condition,model,generation_index,order
full_v1_T2_C0_anthropic_opus5_g01,T2,C0,anthropic_opus5,1,1
full_v1_T5_C0_openai_gpt56sol_g01,T5,C0,openai_gpt56sol,1,2
full_v1_T5_C1_anthropic_opus5_g01,T5,C1,anthropic_opus5,1,3
full_v1_T4_C0_openai_gpt56sol_g01,T4,C0,openai_gpt56sol,1,4
full_v1_T4_C1_openai_gpt56sol_g01,T4,C1,openai_gpt56sol,1,5
full_v1_T5_C1_openai_gpt56sol_g01,T5,C1,openai_gpt56sol,1,6
full_v1_T2_C1_anthropic_opus5_g01,T2,C1,anthropic_opus5,1,7
full_v1_T1_C0_openai_gpt56sol_g01,T1,C0,openai_gpt56sol,1,8
full_v1_T5_C0_anthropic_opus5_g01,T5,C0,anthropic_opus5,1,9
full_v1_T4_C1_anthropic_opus5_g01,T4,C1,anthropic_opus5,1,10
full_v1_T2_C1_openai_gpt56sol_g01,T2,C1,openai_gpt56sol,1,11
full_v1_T4_C0_anthropic_opus5_g01,T4,C0,anthropic_opus5,1,12
full_v1_T1_C0_anthropic_opus5_g01,T1,C0,anthropic_opus5,1,13
full_v1_T1_C1_openai_gpt56sol_g01,T1,C1,openai_gpt56sol,1,14
full_v1_T2_C0_openai_gpt56sol_g01,T2,C0,openai_gpt56sol,1,15
full_v1_T1_C1_anthropic_opus5_g01,T1,C1,anthropic_opus5,1,16
full_v1_T1_C0_openai_gpt56sol_g02,T1,C0,openai_gpt56sol,2,17
full_v1_T2_C1_openai_gpt56sol_g02,T2,C1,openai_gpt56sol,2,18
full_v1_T4_C0_openai_gpt56sol_g02,T4,C0,openai_gpt56sol,2,19
full_v1_T2_C0_anthropic_opus5_g02,T2,C0,anthropic_opus5,2,20
full_v1_T1_C1_anthropic_opus5_g02,T1,C1,anthropic_opus5,2,21
full_v1_T4_C0_anthropic_opus5_g02,T4,C0,anthropic_opus5,2,22
full_v1_T5_C0_openai_gpt56sol_g02,T5,C0,openai_gpt56sol,2,23
full_v1_T1_C1_openai_gpt56sol_g02,T1,C1,openai_gpt56sol,2,24
full_v1_T5_C1_openai_gpt56sol_g02,T5,C1,openai_gpt56sol,2,25
full_v1_T5_C1_anthropic_opus5_g02,T5,C1,anthropic_opus5,2,26
full_v1_T4_C1_openai_gpt56sol_g02,T4,C1,openai_gpt56sol,2,27
full_v1_T2_C0_openai_gpt56sol_g02,T2,C0,openai_gpt56sol,2,28
full_v1_T2_C1_anthropic_opus5_g02,T2,C1,anthropic_opus5,2,29
full_v1_T4_C1_anthropic_opus5_g02,T4,C1,anthropic_opus5,2,30
full_v1_T5_C0_anthropic_opus5_g02,T5,C0,anthropic_opus5,2,31
full_v1_T1_C0_anthropic_opus5_g02,T1,C0,anthropic_opus5,2,32
full_v1_T1_C1_openai_gpt56sol_g03,T1,C1,openai_gpt56sol,3,33
full_v1_T5_C1_openai_gpt56sol_g03,T5,C1,openai_gpt56sol,3,34
full_v1_T5_C0_anthropic_opus5_g03,T5,C0,anthropic_opus5,3,35
full_v1_T2_C0_anthropic_opus5_g03,T2,C0,anthropic_opus5,3,36
full_v1_T1_C0_anthropic_opus5_g03,T1,C0,anthropic_opus5,3,37
full_v1_T4_C1_anthropic_opus5_g03,T4,C1,anthropic_opus5,3,38
full_v1_T1_C1_anthropic_opus5_g03,T1,C1,anthropic_opus5,3,39
full_v1_T4_C0_openai_gpt56sol_g03,T4,C0,openai_gpt56sol,3,40
full_v1_T1_C0_openai_gpt56sol_g03,T1,C0,openai_gpt56sol,3,41
full_v1_T5_C1_anthropic_opus5_g03,T5,C1,anthropic_opus5,3,42
full_v1_T2_C0_openai_gpt56sol_g03,T2,C0,openai_gpt56sol,3,43
full_v1_T4_C1_openai_gpt56sol_g03,T4,C1,openai_gpt56sol,3,44
